"Date","Time","Millisecond","PT1[bar]","PT2[Bar]","PT3[bar]","PT4[bar]","TT1[°C]","LT1[%]","FIT1[m³/h]","FIT2[m³/h]","FIT3[m³/h]","TMP[bar]"
"2023/11/09","11:00:38","350","0.248662","0.210684","0.153718","0.060583","8.987991","44.84237","0.000651","0.000868","-0.000217","-0.018084"
"2023/11/09","11:01:38","350","0.245045","0.213397","0.153718","0.058775","9.089265","44.84237","0.001085","0.001194","-0.000109","-0.017632"
"2023/11/09","11:02:38","340","0.246853","0.210684","0.150101","0.058775","9.042245","44.85498","0.000434","-0.092122","0.092556","-0.015372"
"2023/11/09","11:03:38","350","0.245045","0.208876","0.146484","0.052445","9.096498","44.90542","0.000000","-0.092014","0.092014","-0.015824"
"2023/11/09","11:04:38","360","0.245949","0.209780","0.149197","0.054253","9.125434","44.90542","0.000000","-0.092231","0.092231","-0.017180"
"2023/11/09","11:05:38","340","0.244141","0.209780","0.149197","0.054253","9.114583","44.93064","0.000000","-0.092231","0.092231","-0.017180"
"2023/11/09","11:06:38","400","0.712529","3.131330","0.187174","0.400571","14.74248","44.93064","2.726346","-0.092231","2.818576","1.578776"
"2023/11/09","11:07:38","380","0.716146","3.070746","0.282118","0.393338","18.59447","44.98108","2.720269","0.142361","2.577908","1.449924"
"2023/11/09","11:08:38","330","0.743273","3.042716","0.262225","0.409614","18.97787","44.95586","2.715495","0.177083","2.538412","1.463939"
"2023/11/09","11:09:38","360","0.746889","3.056279","0.251374","0.416847","19.11892","44.96848","2.708984","0.176649","2.532335","1.485189"
"2023/11/09","11:10:38","330","0.751411","3.054471","0.241428","0.405093","19.19126","44.96848","2.702040","0.176649","2.525391","1.488354"
"2023/11/09","11:11:38","380","0.741464","3.068034","0.242332","0.416847","19.30700","45.01892","2.698785","0.178494","2.520291","1.500108"
"2023/11/09","11:12:38","370","0.755027","3.047237","0.233290","0.414135","19.48423","44.99369","2.692708","0.179796","2.512912","1.499656"
"2023/11/09","11:13:38","340","0.720667","3.057183","0.233290","0.404188","19.51316","44.98108","2.699653","0.179362","2.520291","1.497396"
"2023/11/09","11:14:38","340","0.745985","3.047237","0.231481","0.402380","19.71210","44.99369","2.690104","0.181966","2.508138","1.493327"
"2023/11/09","11:15:38","420","0.716146","3.022823","0.227865","0.396050","19.75188","45.04414","2.694227","0.179905","2.514323","1.481572"
"2023/11/09","11:16:38","350","0.710720","3.042716","0.231481","0.399667","19.92188","45.08197","2.690104","0.180664","2.509440","1.489710"
"2023/11/09","11:17:38","400","0.746889","3.047237","0.227865","0.398763","20.03761","45.05675","2.685981","0.180447","2.505534","1.496040"
"2023/11/09","11:18:38","400","0.729709","3.042716","0.224248","0.399667","20.09910","45.08197","2.690321","0.180773","2.509549","1.496944"
"2023/11/09","11:19:38","380","0.721571","3.016493","0.224248","0.394242","20.20761","45.04414","2.682943","0.180447","2.502496","1.481120"
"2023/11/09","11:20:38","330","0.734230","3.024631","0.223343","0.404188","20.36675","45.08197","2.687934","0.180664","2.507270","1.482024"
"2023/11/09","11:21:38","360","0.745985","3.020110","0.224248","0.408709","20.51866","45.08197","2.699002","0.147895","2.551107","1.490162"
"2023/11/09","11:22:38","330","0.741464","3.090639","0.218822","0.421369","20.61632","45.08197","2.692274","0.136719","2.555556","1.537182"
"2023/11/09","11:23:38","350","0.743273","3.084310","0.218822","0.417752","20.73568","45.09458","2.690538","0.133789","2.556749","1.532208"
"2023/11/09","11:24:38","350","0.755932","3.021014","0.221535","0.412326","20.86950","45.14502","2.683594","0.130317","2.553277","1.495135"
"2023/11/09","11:25:38","330","0.739656","3.094256","0.218822","0.397859","20.99609","45.10719","2.667318","0.127604","2.539713","1.524523"
"2023/11/09","11:26:38","340","0.720667","3.013780","0.218822","0.386104","21.12630","45.15763","2.665582","0.126953","2.538629","1.481120"
"2023/11/09","11:27:38","380","0.860822","0.814706","0.192600","0.434932","21.17694","45.14502","2.630208","0.054036","2.576172","0.432219"
"2023/11/09","11:28:38","380","0.251374","0.209780","0.277597","0.054253","20.87312","45.17024","-0.000651","0.000000","-0.000651","-0.145580"
"2023/11/09","11:29:38","360","0.245949","0.208876","0.282118","0.052445","20.57292","45.14502","-0.001085","0.040365","-0.041450","-0.151458"
"2023/11/09","11:30:37","380","0.245949","0.209780","0.277597","0.054253","20.14974","45.18285","-0.001519","0.059353","-0.060872","-0.145580"
"2023/11/09","11:31:37","410","0.244141","0.204355","0.269459","0.060583","19.66869","45.15763","-0.000868","-0.093533","0.092665","-0.136990"
"2023/11/09","11:32:37","360","0.224248","0.185366","0.264938","0.056966","19.27083","45.15763","0.051215","-0.093316","0.144531","-0.143772"
"2023/11/09","11:33:37","400","0.730613","3.031865","0.285735","0.403284","20.82248","45.17024","2.675781","0.120009","2.555773","1.431839"
"2023/11/09","11:34:37","380","0.756836","3.049045","0.267650","0.423177","21.25289","45.22068","2.667535","0.121745","2.545790","1.468461"
"2023/11/09","11:35:37","330","0.732422","3.011068","0.269459","0.399667","21.37587","45.20807","2.662326","0.118924","2.543403","1.435909"
"2023/11/09","11:36:37","360","0.748698","3.018301","0.267650","0.404188","21.51331","45.20807","2.645399","0.119032","2.526367","1.443594"
"2023/11/09","11:37:37","360","1.142036","3.425203","0.264938","0.807473","21.75926","45.22068","2.405165","0.150608","2.254557","1.851400"
"2023/11/09","11:38:37","410","1.116717","3.449616","0.255896","0.789388","21.91117","45.23329","2.407769","0.147135","2.260634","1.863607"
"2023/11/09","11:39:37","380","1.119430","3.446000","0.248662","0.783963","22.04861","45.20807","2.402778","0.144314","2.258464","1.866319"
"2023/11/09","11:40:37","380","1.131185","3.478552","0.254087","0.814706","22.13903","45.33418","2.402778","0.143229","2.259549","1.887569"
"2023/11/09","11:41:37","370","1.132089","3.441478","0.248662","0.813802","22.30903","45.22068","2.410590","0.142904","2.267687","1.878978"
"2023/11/09","11:42:37","350","1.945891","4.314055","0.250470","1.647497","22.48264","45.27112","2.008898","0.197157","1.811740","2.730306"
"2023/11/09","11:43:37","350","1.976635","4.264323","0.235098","1.656539","22.56944","45.27112","2.008464","0.184679","1.823785","2.725333"
"2023/11/09","11:44:37","400","1.963976","4.267940","0.226960","1.646593","22.76837","45.28373","1.992622","0.180122","1.812500","2.730306"
"2023/11/09","11:45:37","360","1.971209","4.288737","0.222439","1.652922","22.88773","45.23329","2.001953","0.177083","1.824870","2.748390"
"2023/11/09","11:46:37","330","2.000145","4.304109","0.219727","1.683666","23.03964","45.30895","2.006944","0.176866","1.830078","2.774161"
"2023/11/09","11:47:37","340","1.991102","4.270652","0.218822","1.660156","23.22410","45.30895","2.006294","0.175022","1.831272","2.746582"
"2023/11/09","11:48:37","380","2.801288","5.091688","0.210684","2.487522","23.38686","45.30895","1.470486","0.210720","1.259766","3.578921"
"2023/11/09","11:49:37","400","2.799479","5.117911","0.204355","2.465820","23.62558","45.33418","1.462240","0.203016","1.259223","3.587511"
"2023/11/09","11:50:37","400","2.813947","5.091688","0.204355","2.492947","23.70877","45.27112","1.450955","0.197591","1.253364","3.589319"
"2023/11/09","11:51:37","370","2.813947","5.093497","0.208876","2.487522","23.86429","45.33418","1.458333","0.195964","1.262370","3.581633"
"2023/11/09","11:52:37","400","2.801288","5.132379","0.205259","2.495660","23.96557","45.33418","1.455295","0.192817","1.262478","3.608760"
"2023/11/09","11:53:37","370","2.803096","5.105252","0.208876","2.480288","24.11024","45.30895","1.457248","0.192166","1.265082","3.583894"
"2023/11/09","11:54:37","370","2.843786","5.138708","0.207972","2.530020","24.21513","45.34678","1.450738","0.190430","1.260308","3.626393"
"2023/11/09","11:55:37","340","2.803096","5.074508","0.208876","2.482096","24.39598","45.35939","1.460069","0.189562","1.270508","3.569426"
"2023/11/09","11:56:37","400","3.580729","5.892831","0.212493","3.271484","24.44300","45.33418","0.882161","0.222982","0.659180","4.369665"
"2023/11/09","11:57:37","350","3.582538","5.833152","0.205259","3.271484","24.73235","45.34678","0.885851","0.215495","0.670356","4.347060"
"2023/11/09","11:58:37","390","3.563549","5.844003","0.205259","3.259729","24.84086","45.34678","0.874566","0.210286","0.664280","4.346608"
"2023/11/09","11:59:37","370","3.528284","5.842195","0.206163","3.246166","25.05425","45.34678","0.873915","0.206272","0.667643","4.338017"
"2023/11/09","12:00:37","390","3.528284","5.805121","0.209780","3.243453","25.09404","45.35939","0.876302","0.204861","0.671441","4.319932"
"2023/11/09","12:01:37","360","3.599718","5.873843","0.204355","3.293186","25.25318","45.37201","0.865234","0.201823","0.663411","4.379159"
"2023/11/09","12:02:37","400","3.535518","5.806026","0.206163","3.228986","25.37254","45.37201","0.864800","0.201063","0.663737","4.311342"
"2023/11/09","12:03:37","370","3.529188","5.820493","0.207972","3.235315","25.44850","45.39722","0.867405","0.199653","0.667752","4.319933"
"2023/11/09","12:04:37","390","0.737847","3.056279","0.199834","0.418656","25.55338","45.40984","2.646701","0.068685","2.578017","1.537634"
"2023/11/09","12:05:37","350","0.757740","3.047237","0.204355","0.422273","25.36169","45.35939","2.636719","0.069119","2.567600","1.530400"
"2023/11/09","12:06:37","370","0.774016","3.051758","0.200738","0.436740","25.44488","45.39722","2.635200","0.069987","2.565213","1.543511"
"2023/11/09","12:07:37","440","0.726092","3.058087","0.198929","0.390625","25.64742","45.39722","2.619358","0.070095","2.549262","1.525427"
"2023/11/09","12:08:37","370","0.751411","3.025535","0.201642","0.425890","25.79210","45.37201","2.631294","0.071289","2.560004","1.524071"
"2023/11/09","12:09:37","390","0.738751","3.002025","0.199834","0.408709","25.84997","45.39722","2.636068","0.072266","2.563802","1.505534"
"2023/11/09","12:10:37","390","0.734230","3.083406","0.200738","0.420464","26.03443","45.42245","2.634766","0.071832","2.562934","1.551197"
"2023/11/09","12:11:37","340","0.724284","3.009259","0.205259","0.386104","26.22975","45.37201","2.623915","0.072157","2.551758","1.492423"
"2023/11/09","12:12:37","370","0.752315","3.047237","0.205259","0.405093","26.32017","45.40984","2.637153","0.072266","2.564887","1.520906"
"2023/11/09","12:13:37","350","0.724284","3.044524","0.201642","0.402380","26.38889","45.37201","2.638021","0.073351","2.564670","1.521810"
"2023/11/09","12:14:37","390","0.743273","3.067130","0.203451","0.415943","26.52271","45.37201","2.644965","0.071940","2.573025","1.538086"
"2023/11/09","12:15:37","420","0.759549","2.990270","0.205259","0.409614","26.66377","45.46028","2.645616","0.073025","2.572591","1.494683"
"2023/11/09","12:16:37","370","0.730613","3.026439","0.203451","0.389721","26.80845","45.47289","2.646050","0.072917","2.573134","1.504629"
"2023/11/09","12:17:37","370","0.732422","3.000217","0.203451","0.393338","26.89164","45.43506","2.646701","0.072808","2.573893","1.493327"
"2023/11/09","12:18:38","0","0.741464","3.025535","0.206163","0.403284","26.98206","45.24590","2.643446","0.073785","2.569661","1.508247"
"2023/11/09","12:19:37","360","0.747794","3.042716","0.205259","0.420464","27.10142","45.30895","2.637153","0.073242","2.563911","1.526331"
"2023/11/09","12:20:37","390","0.745985","3.012876","0.201642","0.402380","27.29311","45.40984","2.642144","0.073351","2.568794","1.505986"
"2023/11/09","12:21:37","360","0.774016","3.042716","0.207972","0.424986","27.44502","45.46028","2.628472","0.072483","2.555990","1.525879"
"2023/11/09","12:22:37","360","0.738751","3.040003","0.207972","0.422273","27.58608","45.43506","2.627604","0.072374","2.555230","1.523166"
"2023/11/09","12:23:37","380","0.746889","3.030961","0.205259","0.407805","27.71629","45.47289","2.626519","0.072374","2.554145","1.514124"
"2023/11/09","12:24:37","380","0.759549","3.063513","0.208876","0.408709","27.86097","45.43506","2.614149","0.074002","2.540148","1.527235"
"2023/11/09","12:25:37","360","0.747794","3.008355","0.205259","0.407805","27.97671","45.47289","2.634983","0.073459","2.561523","1.502821"
"2023/11/09","12:26:37","400","0.756836","3.054471","0.209780","0.418656","28.08521","45.47289","2.621094","0.072808","2.548285","1.526783"
"2023/11/09","12:27:37","370","1.101345","3.370949","0.206163","0.769495","28.20457","45.47289","2.434028","0.090386","2.343642","1.864059"
"2023/11/09","12:28:37","380","1.085069","3.368236","0.208876","0.755027","28.32031","45.47289","2.428385","0.091146","2.337240","1.852756"
"2023/11/09","12:29:37","370","1.096824","3.363715","0.209780","0.747794","28.45052","45.49811","2.434245","0.092448","2.341797","1.845974"
"2023/11/09","12:30:37","380","1.636646","3.922526","0.207972","1.311126","28.59881","45.47289","2.163846","0.121094","2.042752","2.408854"
"2023/11/09","12:31:37","410","2.303964","4.564526","0.207972","1.977539","28.75796","45.46028","1.790799","0.154622","1.636176","3.063061"
"2023/11/09","12:32:37","430","2.308485","4.625108","0.213397","2.002857","28.92072","45.46028","1.801215","0.152561","1.648654","3.100586"
"2023/11/09","12:33:37","380","3.139467","5.396412","0.219727","2.809426","29.07986","45.48550","1.236328","0.190104","1.046224","3.883192"
"2023/11/09","12:34:37","350","3.130425","5.398221","0.214301","2.816659","29.35836","45.46028","1.234158","0.183702","1.050456","3.893139"
